# data from http://www.tbfacts.org/tb-statistics/
Country HIV_neg_TB_mortality HIV_pos_TB_mortality Total_TB_mortality HIV_pos_TB_incidence Population
Angola 11000 7200 93000 28000 25000000
Bangladesh 73000 230 362000 630 161000000
Brazil 5500 2200 84000 13000 208000000
Cambodia 8600 440 59000 1400 15600000
Central_African_Republic 2200 2700 19000 8600 4900000
China 35000 2600 918000 15000 1380000000
Congo 2300 2400 18000 6400 4620000 
DR_Congo 51000 16000 250000 39000 77300000
DPR_Korea 15000 40 141000 450 25200000
Ethiopia 25000 3900 191000 16000 99400000
India 480000 37000 2840000 113000 1310000000
Indonesia 100000 26000 1020000 78000 258000000
Kenya 9000 7200 107000 36000 46100000
Lesotho 1200 4800 17000 12000 2140000
Liberia 3200 840 14000 1800 4500000
Mozambique 21000 34000 154000 79000 28200000
Myanmar 27000 4800 197000 17000 53900000
Namibia 780 880 12000 4900 2460000
Nigeria 180000 57000 586000 100000 182000000
Pakistan 44000 1600 510000 8800 189000000
Papua_New_Guinea 3100 670 33000 4900 7620000
Philippines 14000 440 324000 4300 101000000
Russian_Federation 15000 1500 115000 11000 143000000
Sierra_Leone 3300 820 20000 2600 6450000
South_Africa 25000 73000 454000 258000 54500000
Thailand 8400 5400 117000 15000 68000000 
Tanzania 30000 25000 164000 57000 53500000
Viet_Nam 16000 1100 128000 5500 93400000
Zambia 5000 12000 63000 38000 16200000
Zimbabwe 1700 6300 38000 26000 15600000
