"id","high_risk","outcome"
1,TRUE,4
2,FALSE,0
3,FALSE,0
4,TRUE,4
5,FALSE,2
6,TRUE,4
7,FALSE,2
8,FALSE,0
9,FALSE,1
10,TRUE,4
11,FALSE,2
12,FALSE,1
13,FALSE,0
14,FALSE,0
15,FALSE,2
16,FALSE,1
17,TRUE,4
18,FALSE,1
19,FALSE,1
20,TRUE,4
21,FALSE,0
22,FALSE,1
23,FALSE,2
24,FALSE,2
25,FALSE,1
26,FALSE,1
27,FALSE,3
28,FALSE,0
29,FALSE,0
30,TRUE,4
31,FALSE,1
32,FALSE,1
33,TRUE,4
34,FALSE,1
35,FALSE,3
36,FALSE,1
37,TRUE,4
38,FALSE,1
39,TRUE,4
40,FALSE,1
41,FALSE,2
42,FALSE,2
43,FALSE,1
44,FALSE,1
45,FALSE,1
46,FALSE,1
47,FALSE,2
48,FALSE,1
49,FALSE,1
50,FALSE,1
51,FALSE,0
52,FALSE,0
53,FALSE,1
54,FALSE,3
55,FALSE,0
56,FALSE,1
57,FALSE,2
58,FALSE,2
59,FALSE,0
60,TRUE,4
61,FALSE,1
62,TRUE,4
63,TRUE,4
64,FALSE,0
65,FALSE,1
66,FALSE,1
67,FALSE,0
68,FALSE,2
69,FALSE,1
70,FALSE,0
71,TRUE,4
72,FALSE,0
73,TRUE,4
74,FALSE,2
75,TRUE,4
76,FALSE,2
77,TRUE,4
78,TRUE,4
79,FALSE,0
80,TRUE,4
81,FALSE,1
82,FALSE,1
83,FALSE,1
84,FALSE,1
85,TRUE,4
86,TRUE,4
87,FALSE,1
88,FALSE,1
89,FALSE,1
90,FALSE,1
91,FALSE,0
92,FALSE,2
93,FALSE,1
94,FALSE,0
95,FALSE,2
96,FALSE,0
97,FALSE,0
98,FALSE,0
99,FALSE,1
100,FALSE,3
101,FALSE,2
102,TRUE,4
103,FALSE,0
104,TRUE,4
105,FALSE,3
106,FALSE,1
107,FALSE,0
108,FALSE,2
109,FALSE,0
110,TRUE,4
111,FALSE,2
112,FALSE,2
113,TRUE,4
114,FALSE,2
115,FALSE,1
116,FALSE,2
117,FALSE,1
118,FALSE,1
119,FALSE,1
120,TRUE,4
121,FALSE,2
122,FALSE,1
123,FALSE,1
124,TRUE,4
125,FALSE,2
126,FALSE,1
127,FALSE,2
128,FALSE,3
129,FALSE,2
130,FALSE,2
131,FALSE,1
132,TRUE,4
133,FALSE,2
134,FALSE,0
135,FALSE,2
136,FALSE,1
137,FALSE,3
138,FALSE,1
139,FALSE,2
140,FALSE,1
141,FALSE,2
142,FALSE,1
143,FALSE,2
144,FALSE,3
145,FALSE,0
146,FALSE,1
147,FALSE,0
148,FALSE,3
149,FALSE,2
150,FALSE,2
151,FALSE,1
152,FALSE,1
153,FALSE,1
154,FALSE,0
155,FALSE,1
156,FALSE,2
157,FALSE,0
158,FALSE,3
159,TRUE,4
160,TRUE,4
161,TRUE,4
162,FALSE,4
163,FALSE,1
164,FALSE,1
165,FALSE,1
166,FALSE,1
167,FALSE,1
168,TRUE,4
169,FALSE,1
170,FALSE,1
171,FALSE,1
172,TRUE,4
173,FALSE,1
174,TRUE,4
175,FALSE,1
176,FALSE,1
177,FALSE,1
178,FALSE,2
179,TRUE,4
180,FALSE,3
181,TRUE,4
182,FALSE,2
183,TRUE,4
184,FALSE,0
185,FALSE,0
186,FALSE,0
187,FALSE,2
188,TRUE,4
189,FALSE,1
190,FALSE,0
191,FALSE,1
192,FALSE,1
193,FALSE,2
194,FALSE,0
195,FALSE,1
196,FALSE,1
197,FALSE,0
198,FALSE,1
199,TRUE,4
200,FALSE,1
201,FALSE,0
202,FALSE,0
203,FALSE,1
204,FALSE,2
205,FALSE,0
206,FALSE,1
207,FALSE,2
208,FALSE,0
209,FALSE,1
210,TRUE,4
211,FALSE,1
212,FALSE,2
213,FALSE,2
214,FALSE,2
215,TRUE,4
216,FALSE,3
217,FALSE,1
218,FALSE,1
219,TRUE,4
220,FALSE,1
221,FALSE,2
222,FALSE,1
223,FALSE,1
224,FALSE,0
225,FALSE,1
226,FALSE,1
227,FALSE,1
228,TRUE,4
229,FALSE,2
230,FALSE,1
231,FALSE,2
232,FALSE,1
233,FALSE,0
234,FALSE,1
235,TRUE,4
236,FALSE,0
237,FALSE,3
238,FALSE,2
239,TRUE,4
240,FALSE,1
241,FALSE,3
242,FALSE,0
243,FALSE,0
244,FALSE,2
245,TRUE,4
246,FALSE,2
247,FALSE,0
248,TRUE,4
249,FALSE,3
250,FALSE,1
251,FALSE,0
252,TRUE,4
253,FALSE,2
254,FALSE,1
255,FALSE,1
256,FALSE,1
257,FALSE,1
258,FALSE,0
259,FALSE,0
260,TRUE,4
261,FALSE,1
262,TRUE,4
263,TRUE,4
264,FALSE,3
265,FALSE,1
266,FALSE,0
267,FALSE,1
268,TRUE,4
269,FALSE,0
270,TRUE,4
271,FALSE,0
272,FALSE,1
273,FALSE,0
274,FALSE,1
275,TRUE,4
276,TRUE,4
277,FALSE,1
278,FALSE,1
279,TRUE,4
280,TRUE,4
