"id","high_risk","outcome"
1,FALSE,1
2,FALSE,1
3,TRUE,4
4,TRUE,4
5,FALSE,0
6,FALSE,3
7,FALSE,0
8,FALSE,0
9,FALSE,2
10,FALSE,1
11,FALSE,1
12,FALSE,0
13,FALSE,1
14,FALSE,1
15,TRUE,4
16,FALSE,0
17,FALSE,0
18,TRUE,4
19,FALSE,1
20,FALSE,1
21,TRUE,4
22,FALSE,1
23,FALSE,3
24,FALSE,2
25,FALSE,1
26,TRUE,4
27,FALSE,1
28,TRUE,4
29,FALSE,2
30,TRUE,4
31,FALSE,3
32,TRUE,4
33,TRUE,4
34,FALSE,1
35,FALSE,2
36,FALSE,3
37,FALSE,1
38,TRUE,4
39,FALSE,2
40,TRUE,4
41,FALSE,3
42,FALSE,1
43,TRUE,4
44,FALSE,1
45,FALSE,0
46,FALSE,1
47,FALSE,2
48,FALSE,0
49,FALSE,1
50,FALSE,2
51,FALSE,1
52,TRUE,4
53,FALSE,2
54,TRUE,4
55,FALSE,0
56,FALSE,2
57,FALSE,3
58,FALSE,1
59,FALSE,2
60,FALSE,2
61,TRUE,4
62,FALSE,1
63,FALSE,2
64,FALSE,3
65,TRUE,4
66,FALSE,1
67,FALSE,1
68,FALSE,0
69,TRUE,4
70,FALSE,2
71,FALSE,1
72,TRUE,4
73,FALSE,2
74,TRUE,4
75,FALSE,1
76,FALSE,1
77,FALSE,0
78,TRUE,4
79,FALSE,1
80,FALSE,2
81,TRUE,4
82,FALSE,2
83,TRUE,4
84,FALSE,2
85,TRUE,4
86,TRUE,4
87,TRUE,4
88,FALSE,0
89,FALSE,1
90,FALSE,1
91,TRUE,4
92,FALSE,2
93,FALSE,1
94,FALSE,0
95,FALSE,0
96,TRUE,4
97,FALSE,0
98,FALSE,1
99,FALSE,1
100,TRUE,4
101,TRUE,4
102,FALSE,2
103,TRUE,4
104,FALSE,2
105,FALSE,1
106,FALSE,1
107,TRUE,4
108,TRUE,4
109,TRUE,4
110,FALSE,1
111,FALSE,1
112,TRUE,4
113,FALSE,0
114,FALSE,3
115,FALSE,0
116,FALSE,1
117,FALSE,2
118,FALSE,2
119,FALSE,2
120,TRUE,4
121,FALSE,2
122,FALSE,0
123,FALSE,1
124,FALSE,1
125,FALSE,0
126,TRUE,4
127,TRUE,4
